No,DOI,Link,Authors,Abstract,PDF URL,Status,Notes,Has Bot Check,Resolves To PDF,broken_doi,no english
,10.1063/pt.5.6117,https://doi.org/10.1063/pt.5.6117,"[{""name"": ""Glenn M. Julian"", ""rasses"": """", ""corresponding_author"": false}]",,,True,Obituary article,False,False,False,False
,10.1016/j.clpl.2024.100067,https://doi.org/10.1016/j.clpl.2024.100067,"[{""name"": ""Giulia Alessandri"", ""rasses"": """", ""corresponding_author"": false}, {""name"": ""Tiberio Daddi"", ""rasses"": """", ""corresponding_author"": false}, {""name"": ""Fabio Iraldo"", ""rasses"": """", ""corresponding_author"": false}]","The issue of sustainable food production has become increasingly important in recent years, starting from Sustainable Development Goals in 2015, moving through important events like Farm to Fork strategy up until the United Nations Food System Summit in 2021. The wine industry also, as a niche of the agri-food sector, has been influenced by this change, but despite its economic and cultural value, its sustainability issues have not been sufficiently explored by academia. The present research expands the debate on environmental sustainability in the wine industry by observing how management academia has addressed this topic over the last twelve years, defining the state of the art of a quite new and unexplored topic. The research has been structured as a systematic literature review of academic papers from 2009 till the first half of 2022. This methodology provides a clear overview of sustainable management practices, effective and potential, throughout the entire agri-food wine production process. The papers identified are categorized and divided into major (most recurrent) and secondary topics, according to the prevalence criterion. The findings and discussion section provides an in-depth description and analysis of each category, as well as research gaps identification and possible academic issues. Since it was not possible to find similar works, this research would like to be seen as an opportunity to develop the research on environmental sustainability in the wine industry and align the interest of academia and wine stakeholders defining the path for future research.",https://www.sciencedirect.com/science/article/pii/S2666791624000137/pdfft,True,Complete author affiliations could not be extracted,False,False,False,False
,10.1307/mmj/20236362,https://doi.org/10.1307/mmj/20236362,"[{""name"": ""Henri Anciaux"", ""rasses"": """", ""corresponding_author"": false}, {""name"": ""Nikos Georgiou"", ""rasses"": """", ""corresponding_author"": false}]","We prove that among all constant-width bodies of revolution, the minimum of the ratio of the volume to the cubed width is attained by the constant-width body obtained by rotation of the Reuleaux triangle about an axis of symmetry.",,True,,False,False,False,False
,10.1109/icsrs48664.2019.8987669,https://doi.org/10.1109/icsrs48664.2019.8987669,"[{""name"": ""Xiaobing Li"", ""rasses"": ""Reliability and Environmental Engineering Center, China Electrionic Product Reliability and Environment, Tseting Research Institute, Guangzhou, China"", ""corresponding_author"": false}, {""name"": ""Guangze Pan"", ""rasses"": ""Reliability and Environmental Engineering Center, China Electrionic Product Reliability and Environment, Tseting Research Institute, Guangzhou, China"", ""corresponding_author"": false}, {""name"": ""Jun Ying"", ""rasses"": ""College of Mechanical and Aerospace Engineering, Jilin University, Changchun, China"", ""corresponding_author"": false}, {""name"": ""Xiaocui Zhu"", ""rasses"": ""College of Mechanical and Aerospace Engineering, Jilin University, Changchun, China"", ""corresponding_author"": false}]","Aiming at the problem of fitting error in accelerated degradation data processing, a model optimization method was proposed. Firstly, the best fitting model was selected according to the minimum Residual Sum of Squares, and pseudo-failure lifetime was calculated for each degradation data group. Secondly, the optimization method of the lifetime distribution model was proposed and the best lifetime distribution was obtained according to the minimum fitting error. Finally, a case example was given, which indicated that the deviation may occurred without the model optimization.",,True,,False,False,False,False
,10.1016/j.jallcom.2006.06.063,https://doi.org/10.1016/j.jallcom.2006.06.063,"[{""name"": ""R.V. Wandekar"", ""rasses"": ""Chemistry Division, Bhabha Atomic Research Centre, Trombay, Mumbai 400 085, India"", ""corresponding_author"": false}, {""name"": ""B.N. Wani"", ""rasses"": ""Chemistry Division, Bhabha Atomic Research Centre, Trombay, Mumbai 400 085, India"", ""corresponding_author"": false}, {""name"": ""S.R. Bharadwaj"", ""rasses"": ""Chemistry Division, Bhabha Atomic Research Centre, Trombay, Mumbai 400 085, India"", ""corresponding_author"": false}]","The rare earth deficient manganites Ln0.95MnO3+δ (Ln La, Nd or Gd) have been prepared by conventional ceramic method as well as by wet chemical methods like nitrate route and sol–gel route. Structural transformation, thermal expansion and electrical conductivity at elevated temperature were investigated on Ln0.95MnO3+δ. The X-ray diffraction studies revealed that crystal symmetry of all the rare earth deficient manganites prepared either by sol–gel or solid-state route showed orthorhombic symmetry except lanthanum manganite prepared by solid-state route and the nitrate route. The thermal expansion behavior was studied using thermo-dilatometry and high temperature XRD techniques. The electrical conductivity studies of Ln0.95MnO3+δ showed a clear phase transformation in case of La0.95MnO3+δ synthesized by solid state route which was missing in all other rare earth manganites prepared by solid state and nitrate routes and wet chemical method. A comparative study on their linear thermal expansion behavior indicates that the value of coefficient of thermal expansion reduces to half as it goes from La to Gd. The electrical conductivity of sample synthesized by nitrate route was more as compared to sample prepared by other route like ceramic or sol–gel.",,True,,False,False,False,False
